Source Model,Group,count,mean,sem
deepseek,Katalanen,476,20.42016806722689,1.7657059991135031
deepseek,Kurden,474,23.059071729957807,2.049794788446879
deepseek,Palästinenser,478,24.205020920502093,1.9416660502380096
deepseek,Rohingya,476,30.88235294117647,2.452486861076026
deepseek,Tibeter,470,43.06382978723404,2.555597611464288
deepseek,Uiguren,480,38.916666666666664,2.228720594975859
gemini,Katalanen,478,22.09205020920502,1.7968537783723084
gemini,Kurden,478,25.02092050209205,2.2799209900304516
gemini,Palästinenser,480,25.291666666666668,2.235598507274409
gemini,Rohingya,478,34.93723849372385,2.4068894038560504
gemini,Tibeter,480,29.458333333333332,2.147090987694157
gemini,Uiguren,480,34.520833333333336,2.300134523358635
gpt,Katalanen,474,19.746835443037973,1.7453609814077289
gpt,Kurden,476,19.642857142857142,1.8355455422872429
gpt,Palästinenser,472,20.911016949152543,1.8812526774522933
gpt,Rohingya,474,30.780590717299575,2.3966911396227033
gpt,Tibeter,476,22.584033613445374,1.902844522556297
gpt,Uiguren,476,34.054621848739494,2.1925625650451868
qwen,Katalanen,478,18.84937238493724,1.765290567996209
qwen,Kurden,476,22.478991596638657,2.007138074643161
qwen,Palästinenser,480,22.0625,1.9651073344156185
qwen,Rohingya,480,32.791666666666664,2.4995801018826276
qwen,Tibeter,480,26.1875,2.028976640614425
qwen,Uiguren,474,29.09282700421941,1.9955340514336035
