Scorer Model,Source Model,Count,Score,SEM
deepseek,deepseek,1080,15.953703703703702,1.6379908411836244
deepseek,gemini,1080,17.11111111111111,1.6661448507548453
deepseek,gpt,1080,9.699074074074074,1.2134839348357283
deepseek,qwen,1080,8.282407407407407,1.0540567275900452
gemini,deepseek,1080,19.61111111111111,1.7268211080746692
gemini,gemini,1080,18.51851851851852,1.7139757713901032
gemini,gpt,1080,13.13425925925926,1.4829745021287437
gemini,qwen,1080,12.810185185185183,1.4658138281092234
gpt,deepseek,1073,21.4508314972196,1.6712705545691129
gpt,gemini,1077,13.215180516651104,1.2731088139453999
gpt,gpt,1073,11.258367432588395,1.1555027788174965
gpt,qwen,1074,13.975831763967356,1.2401364741469805
qwen,deepseek,1071,22.362278244631185,1.347356723404954
qwen,gemini,1080,17.64351851851852,1.0730291083560866
qwen,gpt,1080,16.680555555555554,0.8388084825977263
qwen,qwen,1071,17.096171802054155,0.9333055399060556
