Source Model,Group,count,mean,std,sem,median,min,max
deepseek,Katalanen,238,1.2605042016806722,1.262655328617127,0.08184578855726034,2.0,0.0,4.0
deepseek,Kurden,237,1.2911392405063291,1.3668462283248477,0.08878620345283965,2.0,0.0,4.0
deepseek,Palästinenser,239,1.4100418410041842,1.309011910990853,0.08467294161847717,2.0,0.0,4.0
deepseek,Rohingya,238,1.546218487394958,1.5357780867718722,0.09954970743953466,2.0,0.0,4.0
deepseek,Tibeter,235,2.046808510638298,1.4683048927409175,0.09578165013366238,2.0,0.0,4.0
deepseek,Uiguren,240,1.9833333333333334,1.280581283632102,0.0826611664162008,2.0,0.0,4.0
gemini,Katalanen,239,1.3221757322175731,1.253888855962154,0.08110732759992777,2.0,0.0,4.0
gemini,Kurden,239,1.288702928870293,1.4768230407638154,0.09552774123862827,0.0,0.0,4.0
gemini,Palästinenser,240,1.3375,1.4574329757011428,0.09407689405173408,2.0,0.0,4.0
gemini,Rohingya,239,1.7740585774058577,1.4664299001372196,0.09485546485816183,2.0,0.0,4.0
gemini,Tibeter,240,1.6041666666666667,1.362061926555202,0.08792071930085812,2.0,0.0,4.0
gemini,Uiguren,240,1.7875,1.3995852643315052,0.09034284033922042,2.0,0.0,4.0
gpt,Katalanen,237,1.1983122362869199,1.2481839772559387,0.08107826195419128,2.0,0.0,4.0
gpt,Kurden,238,1.1512605042016806,1.2935324706115139,0.0838472563986014,0.0,0.0,4.0
gpt,Palästinenser,236,1.228813559322034,1.3040755555003938,0.0848880882036546,2.0,0.0,4.0
gpt,Rohingya,237,1.5822784810126582,1.495254597702419,0.09712722336594057,2.0,0.0,4.0
gpt,Tibeter,238,1.3067226890756303,1.3033699321981227,0.08448492432167552,2.0,0.0,4.0
gpt,Uiguren,238,1.7941176470588236,1.3231336106008391,0.08576601331484834,2.0,0.0,4.0
qwen,Katalanen,239,1.1422594142259415,1.2688299048255,0.08207378370892322,0.0,0.0,4.0
qwen,Kurden,238,1.2647058823529411,1.35684470381124,0.08795117892924792,2.0,0.0,4.0
qwen,Palästinenser,240,1.2625,1.3420500461457592,0.08662895797499034,2.0,0.0,4.0
qwen,Rohingya,240,1.6333333333333333,1.552071545030256,0.10018578743374328,2.0,0.0,4.0
qwen,Tibeter,240,1.4916666666666667,1.335049453479422,0.08617707166148525,2.0,0.0,4.0
qwen,Uiguren,237,1.6244725738396624,1.26487431390038,0.08216241582190607,2.0,0.0,4.0
