Source Model,Group,count,mean,std,sem,median,min,max
deepseek,Katalanen,238,20.42016806722689,27.23998543910567,1.7657059991135033,25.0,0.0,100.0
deepseek,Kurden,237,23.059071729957807,31.556189660894177,2.049794788446879,25.0,0.0,100.0
deepseek,Palästinenser,239,24.205020920502093,30.017428689089986,1.9416660502380094,25.0,0.0,100.0
deepseek,Rohingya,238,30.88235294117647,37.83512454443131,2.452486861076026,25.0,0.0,100.0
deepseek,Tibeter,235,43.06382978723404,39.17656953658225,2.555597611464288,25.0,0.0,100.0
deepseek,Uiguren,240,38.916666666666664,34.52719099076395,2.228720594975859,25.0,0.0,100.0
gemini,Katalanen,239,22.09205020920502,27.77868529472464,1.7968537783723084,25.0,0.0,100.0
gemini,Kurden,239,25.02092050209205,35.24672315644055,2.2799209900304516,0.0,0.0,100.0
gemini,Palästinenser,240,25.291666666666668,34.63374314991979,2.235598507274409,25.0,0.0,100.0
gemini,Rohingya,239,34.93723849372385,37.2096071999194,2.4068894038560504,25.0,0.0,100.0
gemini,Tibeter,240,29.458333333333332,33.26259055252602,2.147090987694157,25.0,0.0,100.0
gemini,Uiguren,240,34.520833333333336,35.63353081201892,2.3001345233586354,25.0,0.0,100.0
gpt,Katalanen,237,19.746835443037973,26.869490773638987,1.7453609814077289,25.0,0.0,100.0
gpt,Kurden,238,19.642857142857142,28.317417435191988,1.8355455422872429,0.0,0.0,100.0
gpt,Palästinenser,236,20.911016949152543,28.900352008158233,1.8812526774522933,25.0,0.0,100.0
gpt,Rohingya,237,30.780590717299578,36.89659110599238,2.3966911396227033,25.0,0.0,100.0
gpt,Tibeter,238,22.584033613445378,29.355655535711605,1.902844522556297,25.0,0.0,100.0
gpt,Uiguren,238,34.054621848739494,33.825207807044315,2.1925625650451868,25.0,0.0,100.0
qwen,Katalanen,239,18.84937238493724,27.290729903761722,1.765290567996209,0.0,0.0,100.0
qwen,Kurden,238,22.478991596638654,30.96461809327505,2.007138074643161,25.0,0.0,100.0
qwen,Palästinenser,240,22.0625,30.443311918806955,1.9651073344156185,25.0,0.0,100.0
qwen,Rohingya,240,32.791666666666664,38.72332842841142,2.4995801018826276,25.0,0.0,100.0
qwen,Tibeter,240,26.1875,31.43277095577416,2.028976640614425,25.0,0.0,100.0
qwen,Uiguren,237,29.09282700421941,30.720856232405854,1.9955340514336035,25.0,0.0,100.0
