Source Model,Group,count,mean,std,sem,median,min,max
deepseek,Catalans,120,16.666666666666668,25.99558247324436,2.3730611526803123,0.0,0.0,100.0
deepseek,Katalanen,118,24.23728813559322,28.04626152886207,2.5818676490408645,25.0,0.0,100.0
deepseek,Kurden,117,23.247863247863247,29.097904292028215,2.6901022034218314,25.0,0.0,100.0
deepseek,Kurds,120,22.875,33.90336303687414,3.094939451763803,0.0,0.0,100.0
deepseek,Palestinians,120,22.291666666666668,30.71210744018338,2.8036190055851136,25.0,0.0,100.0
deepseek,Palästinenser,119,26.134453781512605,29.302896359924446,2.686192105171618,25.0,0.0,100.0
deepseek,Rohingya,118,30.508474576271187,36.12294906199169,3.3253870030103596,25.0,0.0,100.0
deepseek,Rohingya (en),120,31.25,39.594849423129986,3.6144986983447844,25.0,0.0,100.0
deepseek,Tibetans,117,53.034188034188034,41.89455804177987,3.8731532610907573,75.0,0.0,100.0
deepseek,Tibeter,118,33.17796610169491,33.63749214610363,3.0965821479457207,25.0,0.0,100.0
deepseek,Uiguren,120,39.416666666666664,31.604058704708237,2.885042643547701,25.0,0.0,100.0
deepseek,Uyghurs,120,38.416666666666664,37.34904256325932,3.4094855188529496,25.0,0.0,100.0
gemini,Catalans,120,17.541666666666668,23.860552809860817,2.1781605014173406,17.5,0.0,100.0
gemini,Katalanen,119,26.680672268907564,30.658571608989654,2.8104666514992602,25.0,0.0,100.0
gemini,Kurden,119,28.235294117647058,36.12354175869834,3.3114396437534594,25.0,0.0,100.0
gemini,Kurds,120,21.833333333333332,34.207309979336415,3.1226858845423555,0.0,0.0,100.0
gemini,Palestinians,120,23.833333333333332,35.878725077199526,3.275264509884744,0.0,0.0,100.0
gemini,Palästinenser,120,26.75,33.42902930089356,3.0516389039334255,25.0,0.0,100.0
gemini,Rohingya,119,40.54621848739496,39.05553366880613,3.5802149014829285,25.0,0.0,100.0
gemini,Rohingya (en),120,29.375,34.55334750106582,3.1542746439414184,25.0,0.0,100.0
gemini,Tibetans,120,26.875,33.393896312415684,3.0484317155497758,25.0,0.0,100.0
gemini,Tibeter,120,32.041666666666664,33.06789446362897,3.0186719544882967,25.0,0.0,100.0
gemini,Uiguren,120,34.791666666666664,33.25731001551068,3.0359631495729476,25.0,0.0,100.0
gemini,Uyghurs,120,34.25,37.99961300112535,3.4688742028638226,25.0,0.0,100.0
gpt,Catalans,120,16.75,25.34343930815994,2.31352889897372,0.0,0.0,100.0
gpt,Katalanen,117,22.82051282051282,28.12674987188242,2.600318945518519,25.0,0.0,100.0
gpt,Kurden,118,19.703389830508474,27.318103737807995,2.5148352910139358,12.5,0.0,100.0
gpt,Kurds,120,19.583333333333332,29.38146198069881,2.6821482498848592,0.0,0.0,100.0
gpt,Palestinians,120,19.458333333333332,28.84904083089669,2.6335450709116164,0.0,0.0,100.0
gpt,Palästinenser,116,22.413793103448278,29.001369972293812,2.6927096023014485,25.0,0.0,100.0
gpt,Rohingya,117,32.56410256410256,36.08309008275794,3.3358828582197413,25.0,0.0,100.0
gpt,Rohingya (en),120,29.041666666666668,37.7424700784017,3.4454003729840648,25.0,0.0,100.0
gpt,Tibetans,120,18.333333333333332,26.869849190462663,2.452870419729721,0.0,0.0,100.0
gpt,Tibeter,118,26.906779661016948,31.207326360978257,2.8728672540385833,25.0,0.0,100.0
gpt,Uiguren,120,36.833333333333336,32.234261571309794,2.942572031188049,25.0,0.0,100.0
gpt,Uyghurs,118,31.228813559322035,35.282355827925684,3.2480041234845367,25.0,0.0,100.0
qwen,Catalans,120,15.875,27.221951874646063,2.485012850177282,0.0,0.0,100.0
qwen,Katalanen,119,21.84873949579832,27.144197074850858,2.488304466155335,25.0,0.0,100.0
qwen,Kurden,118,24.152542372881356,30.299820066218178,2.789324527984675,25.0,0.0,100.0
qwen,Kurds,120,20.833333333333332,31.64491365486861,2.8887721731791314,0.0,0.0,100.0
qwen,Palestinians,120,20.083333333333332,30.292574271963243,2.765321042275817,0.0,0.0,100.0
qwen,Palästinenser,120,24.041666666666668,30.59147896774809,2.7926071830134136,25.0,0.0,100.0
qwen,Rohingya,120,35.5,39.7069094171554,3.62472832943172,25.0,0.0,100.0
qwen,Rohingya (en),120,30.083333333333332,37.68502440526965,3.4401563244831492,25.0,0.0,100.0
qwen,Tibetans,120,25.291666666666668,34.47868561741822,3.1474589776314823,25.0,0.0,100.0
qwen,Tibeter,120,27.083333333333332,28.17698665632669,2.5721951990320324,25.0,0.0,100.0
qwen,Uiguren,120,33.958333333333336,29.31211234237459,2.6758175230073595,25.0,0.0,100.0
qwen,Uyghurs,117,24.102564102564102,31.44929817082832,2.907488644417368,25.0,0.0,100.0
